mean_pitch,min_pitch,max_pitch,pitch_range,slope,tone
245.15746264303223,0.0,291.45958234608173,291.45958234608173,9.715319411536058,1
275.41272160127704,264.1997620788445,284.8026362851558,20.6028742063113,0.8241149682524519,1
276.8621306446179,267.2696154421018,279.90989746104225,12.640282018940468,-0.20152035888268513,1
168.57400816012446,153.50608379951623,175.31658728418682,21.81050348467059,-0.2879087020343821,1
158.25523771206574,155.28973857620664,159.84007524427264,4.550336668065995,0.0,1
144.7269780117368,131.33904171088278,160.76601938044396,29.426977669561182,1.471348883478059,1
183.64468072465027,0.0,288.11188351530126,288.11188351530126,8.73066313682731,2
234.76576499035465,203.72586657409818,312.3786457604419,108.65277918634371,3.504928360849797,2
244.78725189785453,210.91024374335242,279.90989746104225,68.99965371768982,1.8340276919442553,2
128.4425255995404,0.0,182.55052705058864,182.55052705058864,2.1528617117710964,2
129.32857125378953,111.08231642149231,158.9194641538943,47.83714773240199,1.2188173914157416,2
118.17102445657247,95.04147737152967,178.38106725040817,83.3395898788785,3.915964814588262,2
117.52351174628171,0.0,249.37136884283632,249.37136884283632,0.9494406831405764,3
189.10331600409373,0.0,264.1997620788445,264.1997620788445,1.3702033611284277,3
179.4373390716096,0.0,208.48773297635057,208.48773297635057,-0.0956906809049963,3
130.05973592560358,118.36937210079624,151.74291604528838,33.37354394449214,0.42340704762643117,3
103.84624566360382,90.74955669144694,128.33925385239033,37.58969716094339,-0.400056488805948,3
35.27777926693178,0.0,95.04147737152967,95.04147737152967,0.0,3
59.08628306708311,0.0,283.16229380450807,283.16229380450807,-9.381360122205914,4
156.68982736139148,0.0,279.90989746104225,279.90989746104225,-12.289779035602232,4
79.62377065092792,0.0,264.1997620788445,264.1997620788445,-11.420786235728938,4
0.0,0.0,0.0,0.0,0.0,4
132.64371994203745,96.14580614405466,169.3446607209197,73.19885457686505,-3.1094893690653214,4
0.0,0.0,0.0,0.0,0.0,4
251.53577282674678,231.33162381119112,258.16543117329905,26.833807362107933,0.7232886204262301,1
272.47173722116577,265.73025573070817,279.90989746104225,14.179641730334083,0.5671856692133633,1
261.11776244800814,245.08731798616498,270.3751387832491,25.287820797084123,0.7436932732616214,1
173.7063879663758,155.28973857620664,181.49911338289388,26.209374806687237,1.0051949868501637,1
155.02211712406566,135.18756939162452,160.76601938044396,25.578449988819443,0.18097118413589733,1
150.21321452739147,0.0,164.52374695419388,164.52374695419388,7.47835213428154,1
192.50543867284688,0.0,261.16516898883725,261.16516898883725,7.8685141909649365,2
249.4630442005937,219.61285439184383,336.73861449281185,117.12576010096802,3.778250325837678,2
237.10597965422446,207.2869319951664,271.94140602843316,64.65447403326675,1.738894189609788,2
147.8269467970993,0.0,191.18409409788933,191.18409409788933,7.603318189722372,2
137.11439538997163,113.02400111059319,177.3536679040722,64.32966679347902,1.1706782771579862,2
110.34472311879523,0.0,179.41441826061057,179.41441826061057,3.3758879344917467,2
165.04105284089601,0.0,238.11015779522992,238.11015779522992,7.003239935153822,3
139.06432890930986,0.0,228.6745534883643,228.6745534883643,-0.04248608102595368,3
175.70282672727964,0.0,203.72586657409818,203.72586657409818,-0.3266929795996808,3
117.0400217213539,0.0,141.58114690225403,141.58114690225403,0.0326178960633024,3
108.68595053922338,76.31097690770147,176.33218594254132,100.02120903483984,0.7882367941899722,3
73.41888990835284,0.0,113.67874248827985,113.67874248827985,-3.0425087841764773,3
161.5209779340445,0.0,250.81596248655285,250.81596248655285,0.0,4
206.18288997017925,0.0,298.2721271452642,298.2721271452642,-11.93088508581057,4
91.11301615028523,0.0,262.67808342176556,262.67808342176556,-13.133904171088279,4
0.0,0.0,0.0,0.0,0.0,4
145.71953483535137,107.29844493264439,174.30683804367592,67.00839311103154,-1.1173900906401002,4
0.0,0.0,0.0,0.0,0.0,4
266.5072313303953,0.0,312.3786457604419,312.3786457604419,9.705608661012914,1
291.86014642740224,278.2977350823928,308.79067099304757,30.49293591065475,1.172805227332875,1
251.54432909916108,231.33162381119112,261.16516898883725,29.83354517764613,0.5929811298240141,1
167.9069020004666,163.57615989978865,173.30290453084095,9.726744631052298,-0.04537051278571431,1
153.79758642803395,146.5739952651369,162.63403054521277,16.06003528007588,0.2062320408248484,1
158.97108577507592,0.0,180.4537554123175,180.4537554123175,9.388477223705692,1
215.14151734725124,0.0,321.53203876088793,321.53203876088793,10.047876211277748,2
232.43205115514832,0.0,312.3786457604419,312.3786457604419,10.07673050840135,2
210.3120900500872,184.67166200173745,258.16543117329905,73.49376917156161,2.0650340060441095,2
141.83895293704776,117.00978390200602,178.38106725040817,61.371283348402144,2.1674256850025753,2
131.84369366019604,109.17398871316405,164.52374695419388,55.34975824102983,0.7112870308935996,2
123.42088124062602,98.96309330796707,162.63403054521277,63.670937237245695,2.618682389564104,2
190.13668771911054,0.0,273.516746567465,273.516746567465,1.5498517881930924,3
196.5108738432396,0.0,250.81596248655285,250.81596248655285,0.7076560075818991,3
177.97849905028488,148.27710305293442,213.36090272959223,65.0837996766578,-1.0288186905642371,3
121.30769254021526,0.0,137.55060648070068,137.55060648070068,-0.1428027360867193,3
102.54939181246431,0.0,130.58258449441863,130.58258449441863,2.866692324728572,3
44.63109095608419,0.0,103.6434659975832,103.6434659975832,4.219843581775594,3
143.5187144641291,0.0,386.8110925318737,386.8110925318737,-12.871013354750367,4
232.35838332542664,138.3474290378909,294.84617956357533,156.49875052568444,-6.807475203518653,4
203.6095096041792,75.0,275.10121296140136,200.10121296140136,-10.005060648070067,4
